what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1429606749883
locale,sysinfo,,,"en_US",1429606749883
processors,sysinfo,,,"8",1429606749883
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429606749883
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1429606749883
java.specification.name,sysinfo,,,"Java Platform API Specification",1429606749883
java.specification.vendor,sysinfo,,,"Oracle Corporation",1429606749883
java.specification.version,sysinfo,,,"1.7",1429606749883
java.vendor,sysinfo,,,"Oracle Corporation",1429606749883
java.version,sysinfo,,,"1.7.0_13",1429606749883
java.vm.info,sysinfo,,,"mixed mode",1429606749883
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429606749883
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429606749883
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429606749883
java.vm.specification.version,sysinfo,,,"1.7",1429606749883
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429606749883
java.vm.version,sysinfo,,,"23.7-b01",1429606749883
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1429606750018
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1429606750031
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1429606750069
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1429606750357
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1429606750389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606759135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606859489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606863007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606894484
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429606895547
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1429606896907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606900667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606948542
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429606948618
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429606948706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429606951031
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1429606951056
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1429606951709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429606958840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429606964032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429607025035
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429607025697
